Anyone can do that.	任何人都可以做到。
Have you already eaten supper?	你已經吃晚飯了嗎？
Where are you going to eat lunch?	你要去哪裡吃午飯？
She finds it a little distasteful.	她發現這有點令她不快。
If I've misjudged you, I'm terribly sorry.	如果我對你產生誤解，我實在抱歉。
Is the snake alive or dead?	這條蛇是活的還是死的？
All that glitters is not gold.	光看表面是不足夠的。
That girl isn't able to ride a bicycle.	那個女孩還不會騎車。
Would you like to know how I did that?	你想知道我怎麼做到的嗎？
You don't like love stories, do you?	你不喜歡愛情故事，是嗎？
She got in at 9 p.m.	她晚上九點鐘上了車。
I won't need any help.	我不需要任何幫助。
Answer the following questions in English.	用英語回答下列問題。
He was supposed to come.	他應該來的。
That girl is good-looking.	那個女孩長得很好看。
I'm sorry, I dialed the wrong number.	對不起，我撥錯了號碼。
My father often washes the dishes.	我爸爸常常洗碗。
Do you know what he said?	你知道他說了什麼嗎？
You are from Hokkaido, aren't you?	你來自北海道，不是嗎？
The price of meat dropped.	肉價下跌了。
It is difficult to play the piano.	彈鋼琴很困難。
I can't believe your parents let you come here by yourself.	我不敢相信你父母讓你自己過來。
I have to say no.	我必須拒絕。
Is it a recent picture?	那是一張近照嗎？
I'm very tired right now.	我現在很累。
What do you want now?	你現在想要什麼？
She opened the letter quickly.	她很快地打開了信。
They know what happened.	他們知道發生了什麼。
Like father, like son.	有其父必有其子。
Stick another stamp on the envelope.	把另一張郵票貼在信封上。
Would you like to go abroad?	你想出國嗎?
He dropped the cup and broke it.	他把杯子掉到地板上打碎了。
Where can I find them?	在哪兒我能找着他們？
He's afraid of snakes.	他怕蛇。
She cooked us a delicious dinner.	她爲我們煮了一頓美味的晚餐。
Do you like Mozart's music?	你喜歡莫扎特的音樂嗎？
Look at that house.	看那個房子。
She plays the violin very well.	她小提琴演奏得非常好。
If he doesn't come, we won't go.	如果他不來了，我們不會去。
The cat is eating.	這隻貓在吃東西。
She dreamed that she was a princess.	她夢見她是一個公主。
How do you spell your family name?	你的姓怎麼拼？
Not a star was to be seen.	沒看到任何一顆星星。
It is easy to swim.	游泳很簡單。
I wonder what happened to him.	我想知道他發生了什麼事。
I'm on your side.	我站在你這邊。
His story sounds true.	他的故事聽起來是真的。
Sydney is far from here.	雪梨離這裡很遠。
Put the gun on the table.	把槍放在桌子上。
You can't use this washing machine.	您不能使用這臺洗衣機。
Tom probably knows how to get to Mary's house.	湯姆大概知道要怎麼去瑪莉家吧。
They should be scared.	他們應該會被嚇到。
Tom called the police.	湯姆叫了警察。
Have you ever seen Mt. Fuji? It is beautiful beyond description.	你看過富士山嗎? 它美得無法形容。
Sometimes adults behave like children.	有時候成人表現得像兒童。
Who is hiding behind the curtain?	誰躲在簾子後面？
He pretends to be deaf.	他裝聽不見。
Japan is not as big as Canada.	日本不像加拿大那麼大。
I'm not quite well.	我有點不舒服。
The serpent tempted Eve.	蛇誘惑了夏娃。
I can speak English.	我會講英語。
I love you more than anyone else.	我愛你勝過其他任何一個人。
All at once she began to shout in a shrill voice.	突然間她開始用尖銳的聲音大喊。
The king crushed his enemies.	國王摧毀了他的敵人。
The plane flew over the mountain.	這架飛機飛越了這座山。
I came to Japan from China.	我從中國到日本。
The bank was held up a week ago.	這家銀行一週前被搶劫。
He told me that I looked pale and asked me what the matter was.	他跟我說我很蒼白，並問我怎麼了。
Many people work in industrial towns.	許多人在工業城市工作。
Pour melted butter over the popcorn.	將融化了的奶油倒入爆米花中。
Where is the coffee shop?	這家咖啡館在哪裡？
I work for a bank.	我為一家銀行工作。
He wishes to become a doctor.	他希望成為一名醫生。
Please choose one person.	請選擇一個人。
He was expelled from school.	他被逐出了學校。
Oh please!	噢拜託了！
She gave us some useful information.	她給了我們一些有用的訊息。
I will go to the meeting.	我將要去參加會議。
I lost my job and I have no money. I'm at my wit's end.	我失業又沒錢。真不知該何去何從。
Can you teach me to play chess?	您能教我下國際象棋嗎？
I'm busy getting ready for tomorrow.	我正忙著為明天作準備。
There are many hotels downtown.	市中心有很多旅館。
The lady really flipped out when she learned she had won a million dollars.	當這位女士得知她已經贏得了百萬美元, 她真的樂瘋了。
My father put a fence around the garden.	我父親在花園邊上裝了籬笆。
I've read many kinds of books.	我已經讀過很多種類的書了。
Do you want to eat out tonight?	你今晚想出去吃嗎？
He will be coming to the party.	他會來參加派對。
We've run short of money.	我們缺錢了。
I envy her.	我嫉妒她。
Jazz fusion is a combination of rock and jazz.	融合爵士是搖滾樂與爵士樂的融合。
My uncle gave me a camera.	我叔叔給了我一個照相機。
That's what Tom promised.	那是湯姆承諾的。
How do you account for that?	你怎樣作出的解釋？
We're very disappointed in you.	我們對你很失望。
Who gave them to you?	誰給了你這些東西？
He lives alone.	他一個人生活。
Can you please tell me your name once more?	請問你能再告訴我一遍你的名字嗎？
Nobody would listen to me.	沒有人會聽我說。
We postponed the meeting.	我們推遲了會議。
I've already finished reading this book.	我已經讀完了這本書。
I wish she had come last night.	要是她昨晚來就好了。
He told us an interesting story.	他給我們講了一個有趣的故事。
May I speak with the teacher?	我能和老師說話嗎？
Tom was very scared.	湯姆當時非常害怕。
You should study harder.	你應該更努力學習。
Do you like apples?	你喜歡蘋果嗎？
I had a feeling this might happen.	我早就有感覺到這可能會發生。
The truth can be more painful than a lie.	真相可能比謊言更令人痛苦。
We had a lot of rain yesterday.	昨天下很多雨。
Mother Nature is generous.	大自然很慷慨。
He earns double my salary.	他的工資是我的兩倍。
I support you whole-heartedly.	我全心全意地支持你。
Don't distract me while I am studying.	我學習的時候不要打擾我。
All of these books are mine.	這些書都是我的。
I met him at the barber's.	我在理髮店碰到了他。
Who threw a stone at my dog?	誰朝我的狗扔的石子？
While you are reading to me, I can do my sewing.	你讀給我聽的時候，我就可以做縫紉了。
Who does the gun belong to?	這把槍是屬於誰的?
I like jazz.	我喜歡爵士樂。
Tom explained it to Mary very carefully.	湯姆仔細地給瑪麗解釋。
Tom wondered why Mary was crying.	湯姆奇怪爲什麼瑪麗哭。
You must be at the station by 5 o'clock.	五點以前你必須在車站。
I like that person.	我喜歡那個人。
You're on the right track.	你在正確的軌道上。
The two of us don't belong here.	我們倆不屬於這兒。
You can have this watch for nothing.	你可以免費擁有這支手錶。
Tom was caught driving without a license.	Tom被抓到無照駕駛。
I have to write a letter. Do you have some paper?	我需要寫一封信。你有紙嗎？
The teacher asked me which book I liked.	老師問我我喜歡哪本書。
He will regret it sooner or later.	他遲早會後悔。
Tom swims very fast.	湯姆游泳遊得非常快。
She may be late, in which case we will wait.	她可能遲到，然後我們就要等。
Ask me something easier.	問我簡單些的。
Tom is here because of me.	因爲我，湯姆在這裏。
He is getting along with his employees.	他和他的員工相處。
It will cost you more to go by plane.	搭飛機將花你比較多的錢。
My mother is writing a letter now.	我母親現在正在寫一封信。
I am looking for an assistant.	我正在找一個助手。
It is very hot here in the summer.	這裏夏天非常炎熱。
"Would you like any more?" "No, I've had enough."	"你想再多吃點嗎?" "不，我吃飽了。"
I've something interesting to tell you that you might find surprising.	我有點有趣的事要告訴你，你可能會吃驚。
Please pardon me for coming late.	抱歉那麼晚來。
There's an old movie theater in town.	城裡有一家古老的電影院。
Do you play a musical instrument?	你演奏樂器嗎？
His intelligence and experience enabled him to deal with the trouble.	他的智慧和經驗使他能處理這個麻煩。
